,true_label,predicted_label,probability_0,probability_1
148,0,0,0.9527574,0.047242574
149,0,0,0.9408396,0.0591604
150,1,0,0.8061871,0.1938129
151,0,0,0.7915691,0.20843086
152,0,0,0.9827246,0.017275387
153,0,0,0.9767176,0.023282433
154,0,0,0.97550905,0.024490982
155,0,0,0.9341371,0.0658629
156,1,1,0.08612752,0.9138725
157,0,0,0.98930204,0.0106979655
158,0,0,0.98153776,0.018462218
159,0,0,0.9997278,0.00027218807
160,1,0,0.9877222,0.012277779
161,1,0,0.8998958,0.10010424
162,0,0,0.9632296,0.036770403
163,0,0,0.7011198,0.29888022
164,0,0,0.91714656,0.082853414
165,0,0,0.82277584,0.17722414
166,0,0,0.9638909,0.036109067
167,0,0,0.9345275,0.065472476
168,0,0,0.92719984,0.072800145
169,0,0,0.90923065,0.09076933
170,0,0,0.5206847,0.47931528
171,1,0,0.9240885,0.075911544
172,0,0,0.98362887,0.016371122
173,0,0,0.9339124,0.06608759
174,0,1,0.3422302,0.6577698
175,0,0,0.5611131,0.4388869
176,1,0,0.9910125,0.008987458
177,0,0,0.8204162,0.17958382
178,0,0,0.9853344,0.0146656055
179,0,0,0.9857975,0.01420247
180,1,0,0.9797795,0.020220501
181,0,0,0.8550575,0.14494252
182,0,0,0.9930637,0.006936309
183,0,0,0.74922884,0.2507712
184,0,0,0.80268085,0.19731918
185,0,0,0.78774595,0.21225403
186,0,0,0.9167562,0.0832438
187,0,0,0.8955933,0.10440674
188,0,0,0.9172112,0.08278883
189,0,0,0.9956806,0.0043194164
190,0,0,0.9892296,0.010770379
191,0,0,0.6498649,0.35013512
192,0,0,0.77982795,0.22017205
193,1,1,0.23586893,0.76413107
194,0,0,0.8295914,0.1704086
195,1,1,0.34757918,0.6524208
196,0,0,0.94837373,0.05162624
197,1,1,0.26694596,0.73305404
198,0,0,0.9475986,0.05240143
199,0,0,0.94980645,0.05019357
200,0,1,0.4625988,0.5374012
201,1,0,0.83341634,0.16658364
202,0,0,0.9990661,0.0009338769
203,0,1,0.49088937,0.5091106
204,0,0,0.9225924,0.077407576
205,1,0,0.6631229,0.3368771
206,0,0,0.950083,0.049916964
207,0,0,0.9462551,0.053744894
208,0,0,0.8968852,0.1031148
209,0,0,0.9985152,0.0014848044
210,0,0,0.8926321,0.1073679
211,0,0,0.98280746,0.01719254
212,0,0,0.9876927,0.01230727
213,0,0,0.9549036,0.045096397
214,0,0,0.97854626,0.021453727
215,0,0,0.94714344,0.05285657
216,0,0,0.9828519,0.017148083
